1113286,Bank account or service,Checking account,Problems caused by my funds being low,,NY,13850,Web,11/12/2014,11/12/2014,First Niagara Bank,In progress,Yes,
1114054,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,UT,84327,Web,11/12/2014,11/12/2014,"Convergent Resources, Inc.",Closed with explanation,Yes,
1114238,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,OH,45844,Web,11/12/2014,11/13/2014,"Bayview Loan Servicing, LLC",In progress,Yes,
1111633,Debt collection,,Communication tactics,Threatened to take legal action,OK,73162,Web,11/11/2014,11/11/2014,"Southwest Recovery Services, Inc.",Closed with explanation,Yes,
1111667,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,ID,83704,Web,11/11/2014,11/11/2014,TransUnion,Closed with explanation,Yes,
1111595,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,MO,63128,Web,11/11/2014,11/11/2014,Consumer Adjustment Company Incorporated,Closed with non-monetary relief,Yes,
1111629,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,OH,43213,Web,11/11/2014,11/11/2014,"Southwest Credit Systems, L.P.",In progress,Yes,
1111518,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77041,Web,11/11/2014,11/11/2014,Citibank,Closed with explanation,Yes,
1111551,Credit card,,Advertising and marketing,,MD,20854,Web,11/11/2014,11/11/2014,Navy FCU,In progress,Yes,
1111412,Credit reporting,,Incorrect information on credit report,Account terms,FL,33902,Web,11/11/2014,11/11/2014,Equifax,In progress,Yes,
1111530,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,TX,75006,Web,11/11/2014,11/11/2014,Equifax,Closed with explanation,Yes,
1111481,Credit reporting,,Incorrect information on credit report,Information is not mine,WI,54130,Web,11/11/2014,11/11/2014,TransUnion,In progress,Yes,
1111484,Credit reporting,,Incorrect information on credit report,Public record,WI,54130,Web,11/11/2014,11/11/2014,Equifax,In progress,Yes,
